main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
All Beauty,"Howard LC0008 Leather Conditioner, 8-Ounce (4-Pack)",4.8,10,[],[],None,"{'hi_res': [None, 'https://m.media-amazon.com/images/I/71i77AuI9xL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/41qfjSfqNyL.jpg', 'https://m.media-amazon.com/images/I/41w2yznfuZL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/41qfjSfqNyL._SS40_.jpg', 'https://m.media-amazon.com/images/I/41w2yznfuZL._SS40_.jpg'], 'variant': ['MAIN', 'PT01']}","{'title': [], 'url': [], 'user_id': []}",Howard Products,[],"{""Package Dimensions"": ""7.1 x 5.5 x 3 inches; 2.38 Pounds"", ""UPC"": ""617390882781""}",B01CUPMQZE,,,
All Beauty,"Yes to Tomatoes Detoxifying Charcoal Cleanser (Pack of 2) with Charcoal Powder, Tomato Fruit Extract, and Gingko Biloba Leaf Extract, 5 fl. oz.",4.5,3,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/71g1lP0pMbL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81OqvR94isL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/41b+11d5igL.jpg', 'https://m.media-amazon.com/images/I/41j2ocUzCtL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/41b+11d5igL._SS40_.jpg', 'https://m.media-amazon.com/images/I/41j2ocUzCtL._SS40_.jpg'], 'variant': ['MAIN', 'PT01']}","{'title': [], 'url': [], 'user_id': []}",Yes To,[],"{""Item Form"": ""Powder"", ""Skin Type"": ""Acne Prone"", ""Brand"": ""Yes To"", ""Age Range (Description)"": ""Adult"", ""Unit Count"": ""10 Fl Oz"", ""Is Discontinued By Manufacturer"": ""No"", ""Item model number"": ""SG_B076WQZGPM_US"", ""UPC"": ""653801351125"", ""Manufacturer"": ""Yes to Tomatoes""}",B076WQZGPM,,,
All Beauty,Eye Patch Black Adult with Tie Band (6 Per Pack),4.4,26,[],[],None,"{'hi_res': [None, None], 'large': ['https://m.media-amazon.com/images/I/31bz+uqzWCL.jpg', 'https://m.media-amazon.com/images/I/31bz+uqzWCL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/31bz+uqzWCL._SS40_.jpg', 'https://m.media-amazon.com/images/I/31bz+uqzWCL._SS40_.jpg'], 'variant': ['MAIN', 'PT01']}","{'title': [], 'url': [], 'user_id': []}",Levine Health Products,[],"{""Manufacturer"": ""Levine Health Products""}",B000B658RI,,,
All Beauty,"Tattoo Eyebrow Stickers, Waterproof Eyebrow, 4D Imitation Eyebrow Tattoos, 4D Hair-like Authentic Eyebrows Waterproof Long Lasting for Woman & Man Makeup Tool",3.1,102,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/71GJhXQGvyL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61NS1lONhzL._SL1001_.jpg', 'https://m.media-amazon.com/images/I/61lcwXtw3ZL._SL1001_.jpg', 'https://m.media-amazon.com/images/I/61G-iZeX-LL._SL1001_.jpg', 'https://m.media-amazon.com/images/I/618BBBsAQrL._SL1001_.jpg', 'https://m.media-amazon.com/images/I/61iomcZjbAL._SL1001_.jpg', 'https://m.media-amazon.com/images/I/61m-71vCbCL._SL1001_.jpg'], 'large': ['https://m.media-amazon.com/images/I/515iwxdKS1L.jpg', 'https://m.media-amazon.com/images/I/51ALSVnGDML.jpg', 'https://m.media-amazon.com/images/I/51GvPall-ML.jpg', 'https://m.media-amazon.com/images/I/51JFEUql-KL.jpg', 'https://m.media-amazon.com/images/I/414rIT4vNAL.jpg', 'https://m.media-amazon.com/images/I/41JVLUdtYaL.jpg', 'https://m.media-amazon.com/images/I/51Vxn6nVrVL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/515iwxdKS1L._SS40_.jpg', 'https://m.media-amazon.com/images/I/51ALSVnGDML._SS40_.jpg', 'https://m.media-amazon.com/images/I/51GvPall-ML._SS40_.jpg', 'https://m.media-amazon.com/images/I/51JFEUql-KL._SS40_.jpg', 'https://m.media-amazon.com/images/I/414rIT4vNAL._SS40_.jpg', 'https://m.media-amazon.com/images/I/41JVLUdtYaL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51Vxn6nVrVL._SS40_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06']}","{'title': [], 'url': [], 'user_id': []}",Cherioll,[],"{""Brand"": ""Cherioll"", ""Item Form"": ""Powder"", ""Finish Type"": ""Natural"", ""Product Benefits"": ""Long Lasting"", ""Skin Type"": ""All"", ""Package Dimensions"": ""8.43 x 5.91 x 0.87 inches; 8.78 Ounces"", ""Item model number"": ""eyebrow sticker001""}",B088FKY3VD,,,
All Beauty,Precision Plunger Bars for Cartridge Grips – 93mm – Bag of 10 Plungers,4.3,7,"['Material: 304 Stainless Steel; Brass tip', 'Lengths Available: 88mm, 93mm, 98mm', 'Accepts cartridge needles with vice style tattoo machines', 'Works perfectly with Precision Disposable Soft Cartridge Grips', 'Price per one bag of 10 plungers']","['The Precision Plunger Bars are designed to work seamlessly with the\xa0Precision Disposable 1. 25"" Contoured Soft Cartridge Grips\xa0and the\xa0Precision Disposable 1"" Textured Soft Cartridge Grips\xa0to drive cartridge needles with vice style or standard tattoo machine setups. These plunger bars are manufactured from 304 Stainless Steel and feature a brass tip. The plungers are sold in a bag of ten in your choice of 88mm, 93mm, or 98mm length.']",None,"{'hi_res': [None], 'large': ['https://m.media-amazon.com/images/I/31TgqAZ8kQL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/31TgqAZ8kQL._SS40_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",Precision,[],"{""UPC"": ""644287689178""}",B07NGFDN6G,,,
All Beauty,Lurrose 100Pcs Full Cover Fake Toenails Artificial Transparent Nail Tips Nail Art for DIY,3.7,35,"['The false toenails are durable with perfect length. You have the option to wear them long or clip them short, easy to trim and file them to in any length and shape you like.', 'ABS is kind of green enviromental material, and makes the nails durable, breathable, light even no pressure on your own nails.', 'Fit well to your natural toenails. Non toxic, no smell, no harm to your health.', 'Wonderful as gift for girlfriend, family and friends.', ""The easiest and most efficient way to do your toenail tips for manicures or nail art designs. It's fashion, creative, a useful accessory brighten up your look, also as a gift.""]","['Description', 'The false toenails are durable with perfect length. You have the option to wear them long or clip them short, easy to trim and file them to in any length and shape you like. Plus, ABS is kind of green enviromental material, and makes the nails durable, breathable, light even no pressure on your own toenails. Fit well to your natural toenails. Non toxic, no smell, no harm to your health.', 'Feature', '- Color: As Shown.- Material: ABS.- Size: 14.3 x 7.2 x 1cm.', 'Package Including', '100 x Pieces fake toenails']",6.99,"{'hi_res': ['https://m.media-amazon.com/images/I/41a1Sj7Q20L._SL1005_.jpg', 'https://m.media-amazon.com/images/I/510BWq7O95L._SL1005_.jpg', 'https://m.media-amazon.com/images/I/517uoA+-gzL._SL1005_.jpg', 'https://m.media-amazon.com/images/I/511v5MygzTL._SL1005_.jpg', 'https://m.media-amazon.com/images/I/513VyUt42YL._SL1005_.jpg', 'https://m.media-amazon.com/images/I/612NVdL0gDL._SL1005_.jpg', 'https://m.media-amazon.com/images/I/51f2sDEVH7L._SL1005_.jpg', 'https://m.media-amazon.com/images/I/51+ERW-6D0L._SL1005_.jpg', 'https://m.media-amazon.com/images/I/51T546q1UzL._SL1005_.jpg'], 'large': ['https://m.media-amazon.com/images/I/31dlCd7tHSL.jpg', 'https://m.media-amazon.com/images/I/31sLajrdHOL.jpg', 'https://m.media-amazon.com/images/I/31LG1yvB0hL.jpg', 'https://m.media-amazon.com/images/I/41q5YGRiRuL.jpg', 'https://m.media-amazon.com/images/I/31FY+Q1zxjL.jpg', 'https://m.media-amazon.com/images/I/41TVchNHu7L.jpg', 'https://m.media-amazon.com/images/I/41tjcF6Ic1L.jpg', 'https://m.media-amazon.com/images/I/41xSsQx5uVL.jpg', 'https://m.media-amazon.com/images/I/41dmyUCN+tL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/31dlCd7tHSL._SS40_.jpg', 'https://m.media-amazon.com/images/I/31sLajrdHOL._SS40_.jpg', 'https://m.media-amazon.com/images/I/31LG1yvB0hL._SS40_.jpg', 'https://m.media-amazon.com/images/I/41q5YGRiRuL._SS40_.jpg', 'https://m.media-amazon.com/images/I/31FY+Q1zxjL._SS40_.jpg', 'https://m.media-amazon.com/images/I/41TVchNHu7L._SS40_.jpg', 'https://m.media-amazon.com/images/I/41tjcF6Ic1L._SS40_.jpg', 'https://m.media-amazon.com/images/I/41xSsQx5uVL._SS40_.jpg', 'https://m.media-amazon.com/images/I/41dmyUCN+tL._SS40_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07', 'PT08']}","{'title': [], 'url': [], 'user_id': []}",Lurrose,[],"{""Color"": ""As Shown"", ""Size"": ""Large"", ""Material"": ""Acrylonitrile Butadiene Styrene (ABS)"", ""Brand"": ""Lurrose"", ""Style"": ""French"", ""Product Dimensions"": ""5.63 x 2.83 x 0.39 inches; 1.9 Ounces"", ""UPC"": ""799768026253"", ""Manufacturer"": ""Lurrose""}",B07G9GWFSM,,,
All Beauty,Stain Bonnet For Baby Bonnet Silk Sleep Cap For Toddler Child Shower Cap Teens Kids,4.1,50,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/71jrogkcveL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/713Z24d6hVS._SL1200_.jpg', 'https://m.media-amazon.com/images/I/817Nj6u5zML._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71eeT1V8nDL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/71aPPNO7hML._SL1000_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51s4A5hDsPL.jpg', 'https://m.media-amazon.com/images/I/51mGQ66k8mS.jpg', 'https://m.media-amazon.com/images/I/5122qYD4KNL.jpg', 'https://m.media-amazon.com/images/I/61gq01uu39L.jpg', 'https://m.media-amazon.com/images/I/61tR+Q7HguL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51s4A5hDsPL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51mGQ66k8mS._SS40_.jpg', 'https://m.media-amazon.com/images/I/5122qYD4KNL._SS40_.jpg', 'https://m.media-amazon.com/images/I/61gq01uu39L._SS40_.jpg', 'https://m.media-amazon.com/images/I/61tR+Q7HguL._SS40_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04']}","{'title': [], 'url': [], 'user_id': []}",Edoneery,[],"{""Brand"": ""Edoneery"", ""Material"": ""Silk"", ""Number of Items"": ""1"", ""Size"": ""1 Count (Pack of 1)"", ""Inner Material"": ""100 Silk"", ""Package Dimensions"": ""10 x 5.79 x 0.75 inches; 0.63 Ounces""}",B08XZ97HFY,,,
All Beauty,50 Pieces False Eyelash Packaging Box Empty Eyelash Box Plastic Eyelash Storage Case with Glitter Paper and Clear Tray for Women Girls Eyelash (Holographic),3.8,32,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/810s1yPUJgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/814gwLARBgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81MIq-+Z0dL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71Mr93aVo+L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81udu+NP2RL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71E6eXMuVlL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71xFb7Y9gZL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51SweLNm8bL.jpg', 'https://m.media-amazon.com/images/I/51s9ZONkn9L.jpg', 'https://m.media-amazon.com/images/I/51YfvGFCm9L.jpg', 'https://m.media-amazon.com/images/I/5155jtJZ1hL.jpg', 'https://m.media-amazon.com/images/I/511a4-2AxcL.jpg', 'https://m.media-amazon.com/images/I/51ZL+Kl4lhL.jpg', 'https://m.media-amazon.com/images/I/51ziOBMfK+L.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51SweLNm8bL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51s9ZONkn9L._SS40_.jpg', 'https://m.media-amazon.com/images/I/51YfvGFCm9L._SS40_.jpg', 'https://m.media-amazon.com/images/I/5155jtJZ1hL._SS40_.jpg', 'https://m.media-amazon.com/images/I/511a4-2AxcL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51ZL+Kl4lhL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51ziOBMfK+L._SS40_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06']}","{'title': [], 'url': [], 'user_id': []}",Maitys,[],"{""Package Dimensions"": ""14.49 x 11.26 x 2.36 inches; 2.65 Pounds""}",B08DNQTTQK,,,
All Beauty,Gold extatic Musk EDT 90ml,3.7,2,['Extatic Balmain Gold Musk By Balmain Edt Spray 3 Oz'],['Edt spray 3 oz design house: balmain'],86.95,"{'hi_res': ['https://m.media-amazon.com/images/I/9118ClZ71fL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51AhKg3vsyL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51AhKg3vsyL._SS40_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",Balmain,[],"{""Brand"": ""Balmain"", ""Item Form"": ""Spray"", ""Item Volume"": ""90 Milliliters"", ""Age Range (Description)"": ""Adult"", ""Style"": ""Modern"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""2.76 x 5.79 x 2.76 inches; 13.33 Ounces"", ""Item model number"": ""BA008A01"", ""Manufacturer"": ""Balmain""}",B01ERJEGS6,,,
All Beauty,"4 Pieces Satin Bonnet Adjustable Sleep Cap Double Layer Printed Hair Bonnet Large Reversible Sleeping Silk Night Hair Cap for Women Natural Curly Hair (Floral, Flamingo, Flower)",4.3,66,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/91PDRd5QhQL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81QBgZpF3ZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/817tlgJDA7L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81uzSAYAdKL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81fx2PsCbcL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81p2syDoGeL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/813V44sSGCL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/61an2j0EYJL.jpg', 'https://m.media-amazon.com/images/I/51bnYP7Y8bL.jpg', 'https://m.media-amazon.com/images/I/610hciyDWdL.jpg', 'https://m.media-amazon.com/images/I/51tqK59dlCL.jpg', 'https://m.media-amazon.com/images/I/51oiNU4MnNL.jpg', 'https://m.media-amazon.com/images/I/51fk5BtRMpL.jpg', 'https://m.media-amazon.com/images/I/51jZ9-Xe97L.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/61an2j0EYJL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51bnYP7Y8bL._SS40_.jpg', 'https://m.media-amazon.com/images/I/610hciyDWdL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51tqK59dlCL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51oiNU4MnNL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51fk5BtRMpL._SS40_.jpg', 'https://m.media-amazon.com/images/I/51jZ9-Xe97L._SS40_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06']}","{'title': [], 'url': [], 'user_id': []}",Geyoga,[],"{""Package Dimensions"": ""12.49 x 9.97 x 1.46 inches; 7.51 Ounces""}",B08P7LXKP7,,,
