main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
AMAZON FASHION,"YUEDGE 5 Pairs Men's Moisture Control Cushioned Dry Fit Casual Athletic Crew Socks for Men (Blue, Size 9-12)",4.6,16,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/81XlFXImFrS._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/61+yVkHHQ3S._AC_UL1200_.jpg', 'https://m.media-amazon.com/images/I/61vbh6sLR1L._AC_UL1200_.jpg', 'https://m.media-amazon.com/images/I/71tRVQuan7S._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/81BvTztKWGL._AC_UL1200_.jpg', 'https://m.media-amazon.com/images/I/71LytMHW9ML._AC_UL1200_.jpg', 'https://m.media-amazon.com/images/I/71wJKMbj5cS._AC_UL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/41+cCfaVOFS._AC_.jpg', 'https://m.media-amazon.com/images/I/41jBdP7etRS._AC_.jpg', 'https://m.media-amazon.com/images/I/41UGJiRe7UL._AC_.jpg', 'https://m.media-amazon.com/images/I/41zb4GR-lWS._AC_.jpg', 'https://m.media-amazon.com/images/I/612BT4t-uFL._AC_.jpg', 'https://m.media-amazon.com/images/I/51ExLGv3QwL._AC_.jpg', 'https://m.media-amazon.com/images/I/313iU0xDEkS._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/41+cCfaVOFS._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41jBdP7etRS._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41UGJiRe7UL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41zb4GR-lWS._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/612BT4t-uFL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51ExLGv3QwL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/313iU0xDEkS._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06']}","{'title': [], 'url': [], 'user_id': []}",GiveGift,[],"{""Package Dimensions"": ""10.31 x 8.5 x 1.73 inches; 14.82 Ounces"", ""Item model number"": ""DHES5PM21DH12"", ""Date First Available"": ""February 12, 2021""}",B08BHN9PK5,,,
AMAZON FASHION,"DouBCQ Women's Palazzo Lounge Wide Leg Casual Flowy Pants(Flower Mix Blue, XL)",4.1,7,"['Drawstring closure', 'Machine Wash']",[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/91Z4G2jlFeL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/91nZpeWHn-L._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/91aCjCS6e0L._AC_UL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/515cR-ta1EL._AC_.jpg', 'https://m.media-amazon.com/images/I/51Dyk8PiO7L._AC_.jpg', 'https://m.media-amazon.com/images/I/51MS48eV8XL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/515cR-ta1EL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51Dyk8PiO7L._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51MS48eV8XL._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02']}","{'title': [], 'url': [], 'user_id': []}",DouBCQ,[],"{""Package Dimensions"": ""15 x 10.2 x 0.4 inches; 9.59 Ounces"", ""Item model number"": ""Drop Crotch"", ""Date First Available"": ""February 5, 2021""}",B08R39MRDW,,,
AMAZON FASHION,Pastel by Vivienne Honey Vanilla Girls' Trapeze Dress with Easy Removable Label Large 9-10 Years Navy,4.3,11,"['Zipper closure', 'Hand Wash Only']",[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/612-CtsBAvL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/61nnlxsYhZL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/613At4OGLOL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/51MZdXHAcPL._AC_UL1444_.jpg'], 'large': ['https://m.media-amazon.com/images/I/31GwmwNCdAL._AC_.jpg', 'https://m.media-amazon.com/images/I/314fak19lKL._AC_.jpg', 'https://m.media-amazon.com/images/I/315u9+LVroL._AC_.jpg', 'https://m.media-amazon.com/images/I/31nh+KU31cL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/31GwmwNCdAL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/314fak19lKL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/315u9+LVroL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/31nh+KU31cL._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03']}","{'title': [], 'url': [], 'user_id': []}",Pastel by Vivienne,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.98 x 7.95 x 0.98 inches; 6.24 Ounces"", ""Item model number"": ""RJ-K140NA-LRG"", ""Date First Available"": ""November 11, 2018""}",B077KJHCJ4,,,
AMAZON FASHION,Mento Streamtail,2.0,1,"['Thermoplastic Rubber sole', 'High Density Premium Thickness Comfort Foam Footbed', 'Full Color Original Guy Harvey Artwork On Wavy Outsole', 'Soft Canvas Strap Lining with Embroidered Logo', 'Screen Printed Logo on Footbed', 'Lightweight Non-Marking EVA Outsole with Flex Grooves']","[""Slip on the Women's Mento and you're ready to hit the beach. This thong sandal features canvas straps with a soft lining, a high density premium thickness comfort foam footbed and a lightweight non-marking EVA outsole with flex grooves. A full color digital print of Guy Harvey's artwork is featured on the wavy outsole.""]",29.81,"{'hi_res': ['https://m.media-amazon.com/images/I/61qmATFO2FL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/6160QrWEfJL._AC_UL1310_.jpg', 'https://m.media-amazon.com/images/I/61eVvnbcjUL._AC_UL1237_.jpg', 'https://m.media-amazon.com/images/I/71+eg7eJdML._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/71JRdvDhuWL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/61hcldB99RL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/71CdYWVZqPL._AC_UL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/31P-uHUUIXL._AC_.jpg', 'https://m.media-amazon.com/images/I/41G-1W5k7EL._AC_.jpg', 'https://m.media-amazon.com/images/I/41yhiAiCrBL._AC_.jpg', 'https://m.media-amazon.com/images/I/31bXKbAKHSL._AC_.jpg', 'https://m.media-amazon.com/images/I/31wjUX7o8YL._AC_.jpg', 'https://m.media-amazon.com/images/I/21cadRZ+01L._AC_.jpg', 'https://m.media-amazon.com/images/I/31urvfwzRLL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/31P-uHUUIXL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41G-1W5k7EL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41yhiAiCrBL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/31bXKbAKHSL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/31wjUX7o8YL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/21cadRZ+01L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/31urvfwzRLL._AC_US40_.jpg'], 'variant': ['MAIN', 'FRNT', 'BACK', 'BOTT', 'TOPP', 'RGHT', 'PAIR']}","{'title': [], 'url': [], 'user_id': []}",Guy Harvey,[],"{""Package Dimensions"": ""11.22 x 4.72 x 4.33 inches; 1.7 Pounds"", ""Item model number"": ""GHWMENTBGT-4152"", ""Department"": ""womens"", ""Date First Available"": ""November 5, 2019"", ""Manufacturer"": ""Guy Harvey"", ""Country of Origin"": ""China""}",B0811M2JG9,,,
AMAZON FASHION,RONNOX Women's 3-Pairs Bright Colored Calf Compression Tube Sleeves,4.3,3032,"['Pull On closure', 'Size Guide: ""S"" fits calf 10-12 inches. ""M"" fits calf 12-14 inches. ""L"" fits calf 14-16 inches. ""XL"" fits calf 16-18 inches. The above size guide is for calf circumference the length of the sleeve unstretched is approx: S, 11 inch. M, 12 inch. L, 13 inch. XL, 14 inch', '3 Pairs: Styles and colors as seen in the picture. Choose between colorful sporty patterns & colored solids', 'Medium Compression: The solid styles have 16-20 mmHg Graduated Compression. The pattern styles have 12-14 mmHg Graduated Compression', 'Compression improves blood flow, aids with circulation, and keeps your feet energized. Great for running, athletic activities, & for nursing or standing all day', 'Helps in reducing swelling and aching in the legs. Great for pregnancy & flight travel or sitting long periods']","['Ronnox Calf Sleeves - Allowing Your Body to Perform at Its Best!Some of the Ronnox Compression Socks Highlights:✔ Increase Endurance – Compression calf sleeves can reduce lactic acid and muscle fatigueallowing you to increase your endurance! Train harder, train better – and perform at your best.✔ Faster Recovery Time – Compression socks will aid in faster recovery time when worn for a few hours post workout.This is due to the increased blood flow to the calf muscles.✔ Reduce Swelling – Varicose veins, swollen ankles or swollen legs?The graduated premium compression can help to reduce swelling and assists your veins in getting blood to flow out of your legs and back to your heart!Ideal for long-haul flights or long journeys.✔ Minimize Cramps – Whether you get leg cramps during pregnancy or because your job requires being on your feet the entire day,these compression sleeves will help to reduce your leg cramps and muscle pain, helping you work and live better.General Features & Specifications:➤ Anatomically Designed to Fit Your Legs - No bunching or sliding down when walking, squatting or performing any exercise.Our calf sleeves will mold to the shape of your body.➤ Breathable Sweat-Wicking Design – The sweat-wicking breathable knee sleeve will regulate temperatureand ensure maximum comfort even during intense physical activity.➤ Soft Non-Irritating Neoprene Fabric – Instead of rough, scratchy calf sleeves, our fabric is softer, lighterand more comfortable than many others on the market.➤ Stretchable Elastic – This leg sleeve provides medium 15-20 hg graduated compression that won’t cause any blood clots or tighten around any veins.➤ Washable – Easy to clean, simply wash on a gentle cycle and hang to dry.➤ Sizes: Small / Medium / Large / Extra Large.➤ Colors: Hot Pink / Neon Green.']",17.99,"{'hi_res': ['https://m.media-amazon.com/images/I/91ub366PdKL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/61RpcNwx1SL._AC_UL1200_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51CqMDJOODL._AC_.jpg', 'https://m.media-amazon.com/images/I/417HN5YFVhL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51CqMDJOODL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/417HN5YFVhL._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01']}","{'title': [""HONEST Review: RONNOX Women's 3-Pairs Calf Tube Sleeves"", 'Calf Compression Sleeves for Men & Women'], 'url': ['https://www.amazon.com/vdp/0dfab80ad5654f499f89ab2f68f61c9b?ref=dp_vse_rvc_0', 'https://www.amazon.com/vdp/08ca5cc3c04d4391b9308ba719ecdb6b?ref=dp_vse_rvc_1'], 'user_id': ['/shop/grillbuff', '']}",RONNOX,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""7.7 x 4.3 x 1.8 inches; 6.38 Ounces"", ""Department"": ""womens"", ""Date First Available"": ""July 18, 2017"", ""Manufacturer"": ""RONNOX""}",B07SB2892S,,,
AMAZON FASHION,"12pairs Egowz High Visibility Nylon Latex Foam Coated Work Gloves,Breathable Soft Wearproof Non-Slip Comfortable Safety Protective Gloves(S, Red)",5.0,3,[],[],None,"{'hi_res': [None, 'https://m.media-amazon.com/images/I/715b1CWcpCL._AC_UL1000_.jpg', None, None, 'https://m.media-amazon.com/images/I/81c5L6uti7L._AC_UL1000_.jpg', 'https://m.media-amazon.com/images/I/71WkTpIV22L._AC_UL1000_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51s3nU3ximL._AC_.jpg', 'https://m.media-amazon.com/images/I/61a84xvXQeL._AC_.jpg', 'https://m.media-amazon.com/images/I/51cV8A4L9AL._AC_.jpg', 'https://m.media-amazon.com/images/I/51Tl0BbxDRL._AC_.jpg', 'https://m.media-amazon.com/images/I/61fMls01cdL._AC_.jpg', 'https://m.media-amazon.com/images/I/51eZu0aOPsL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51s3nU3ximL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/61a84xvXQeL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51cV8A4L9AL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51Tl0BbxDRL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/61fMls01cdL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51eZu0aOPsL._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05']}","{'title': [], 'url': [], 'user_id': []}",KEMUKR,[],"{""Brand"": ""KEMUKR"", ""Reusability"": ""Reusable"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""11.14 x 7.09 x 4.21 inches; 15.91 Ounces"", ""Date First Available"": ""April 2, 2019""}",B07NZ7V22C,,,
AMAZON FASHION,"Nemidor Women's Vintage 1950s Style Sleeved Plus Size Swing Dress (18W, Burgundy)",4.0,6,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/61PXLV7A9DL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/618SNNOKFGL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/61d2kcSNOjL._AC_UL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/411S0HZd5WL._AC_.jpg', 'https://m.media-amazon.com/images/I/4128Nj0vntL._AC_.jpg', 'https://m.media-amazon.com/images/I/41TxkXC5XiL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/411S0HZd5WL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/4128Nj0vntL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41TxkXC5XiL._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02']}","{'title': [], 'url': [], 'user_id': []}",Nemidor,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 11.02 x 0.59 inches; 1 Pounds"", ""Item model number"": ""NEM078_Burgundy_5XL"", ""Date First Available"": ""September 1, 2016""}",B01ISW76HQ,,,
AMAZON FASHION,YUNXI 3D grape Drop Earrings Cute Fruit Gold Dangle Earrings Charm Jewelry Gift Earrings for Women Girls (3D grape Drop Earrings(purple)),4.7,13,[],[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/51wifGtXJmL._AC_UL1001_.jpg', 'https://m.media-amazon.com/images/I/61fA4jToREL._AC_UL1001_.jpg', 'https://m.media-amazon.com/images/I/61AkeGwcULL._AC_UL1001_.jpg', 'https://m.media-amazon.com/images/I/51NYlHupUPL._AC_UL1001_.jpg', 'https://m.media-amazon.com/images/I/61bWWmdItNL._AC_UL1001_.jpg', 'https://m.media-amazon.com/images/I/61MOmUDgW3L._AC_UL1001_.jpg'], 'large': ['https://m.media-amazon.com/images/I/41t0Fv--wPL._AC_.jpg', 'https://m.media-amazon.com/images/I/51+12GsNnBL._AC_.jpg', 'https://m.media-amazon.com/images/I/41WBE0BjuOL._AC_.jpg', 'https://m.media-amazon.com/images/I/41wDOfmwqZL._AC_.jpg', 'https://m.media-amazon.com/images/I/51NPf4FfeoL._AC_.jpg', 'https://m.media-amazon.com/images/I/41sRhQJEvRL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/41t0Fv--wPL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51+12GsNnBL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41WBE0BjuOL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41wDOfmwqZL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51NPf4FfeoL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41sRhQJEvRL._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05']}","{'title': ['Cubic Zirconia Pearl Drop Earrings for Women Prom'], 'url': ['https://www.amazon.com/vdp/01cc0cee69ea42429b7a070728962a34?ref=dp_vse_rvc_0'], 'user_id': ['']}",YUNXI,[],"{""Package Dimensions"": ""4.13 x 3.03 x 0.47 inches; 0.32 Ounces"", ""Date First Available"": ""January 20, 2021""}",B08T6KT3N8,,,
AMAZON FASHION,LYCKYY Women's Tie Dye Sweatshirt Crewneck Long Sleeve Pullover Tops with Pockets,3.7,52,['Pull On closure'],"['Tie dye shirts for Women long sleeve crewneck sweatshirtLYCKYY are created to provide fashionable and comfortable women clothes, we offer the best balance between beauty and soft. Our distinctive graphic design make it possible for you to express yourself. Style: CasualColor: Blue, Blue Pink Grey, Coffee Pink Grey, Dark Grey Pink, Green, Grey, Orange, Purple, Red, Red Yellow Blue, YellowPattern Type: Whirlpool tie dye, Galaxy Tie DyeDetail: Two Side PocketsNeckline: Round NeckSleeve Length: Long SleeveSeason: Spring, Fall, WinterComposition: 65% Cotton, 35% PolyesterMaterial: Cotton BlendAttention: 1. Wash: The opposite machine gentle wash and air dry2. Color: May little vary due to different display settingOur ServicePlease Feel Free to Contact Us if You Receive the Defective Product/ Wrong Size/ Wrong Items. We Will Try Our Best to do the Best Services for You. Thank You.']",9.99,"{'hi_res': ['https://m.media-amazon.com/images/I/61Rz6OajP5L._AC_UL1004_.jpg', 'https://m.media-amazon.com/images/I/51lJsaeIhCL._AC_UL1004_.jpg', None], 'large': ['https://m.media-amazon.com/images/I/41DW4uwWLQL._AC_.jpg', 'https://m.media-amazon.com/images/I/4182i2j8o3L._AC_.jpg', 'https://m.media-amazon.com/images/I/41hG0BewO9L._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/41DW4uwWLQL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/4182i2j8o3L._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41hG0BewO9L._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02']}","{'title': [], 'url': [], 'user_id': []}",LYCKYY,[],"{""Department"": ""womens"", ""Date First Available"": ""August 11, 2020""}",B08FMLXY1Z,,,
AMAZON FASHION,PattyBoutik Women Crewneck Eyelet Cold Shoulder Sweater (Grayish Violet Small),4.6,5,"['97% Cotton, 3% Other Fibers']",[],None,"{'hi_res': ['https://m.media-amazon.com/images/I/71ZtYP0GfdL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/711bVX8ejsL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/81sueIGUlRL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/71gZyPbwBLL._AC_UL1500_.jpg', 'https://m.media-amazon.com/images/I/715rmuWbbhL._AC_UL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/416ZeGKfmCL._AC_.jpg', 'https://m.media-amazon.com/images/I/41ev15BDlqL._AC_.jpg', 'https://m.media-amazon.com/images/I/51XKLmTpiWL._AC_.jpg', 'https://m.media-amazon.com/images/I/412Gv2S2uKL._AC_.jpg', 'https://m.media-amazon.com/images/I/413OC4X9QuL._AC_.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/416ZeGKfmCL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/41ev15BDlqL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51XKLmTpiWL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/412Gv2S2uKL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/413OC4X9QuL._AC_SR38,50_.jpg'], 'variant': ['MAIN', 'PT01', 'PT02', 'PT03', 'PT04']}","{'title': [], 'url': [], 'user_id': []}",PattyBoutik,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""13.62 x 8.31 x 1.77 inches; 11.71 Ounces"", ""Item model number"": ""SW-1770-PP-S"", ""Date First Available"": ""July 31, 2018""}",B07DXHY5ZX,,,
