main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
Prime Video,Glee,4.7,2004,"['IMDb 6.8', '2013', '22 episodes', 'X-Ray', 'TV-14']","['Entering its fourth season, this year the members of New Directions compete amongst themselves to be the ""new Rachel"" and hold auditions to find new students. Meanwhile, the graduating class leaves the comforts of McKinley where Rachel struggles to please her demanding NYADA teacher (Kate Hudson) and Kurt second-guesses his decision to stay in Lima. Four newcomers also join the musical comedy.']",22.39,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Comedy', 'Drama', 'Arts, Entertainment, and Culture', 'Music Videos and Concerts']","{""Content advisory"": [""Violence"", ""substance use"", ""alcohol use"", ""smoking"", ""foul language"", ""sexual content""], ""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Bradley Buecker"", ""Brad Falchuk"", ""Eric Stoltz"", ""Paris Barclay"", ""Ian Brennan"", ""Ryan Murphy"", ""Alfonso Gomez-Rejon"", ""Elodie Keene"", ""Adam Shankman"", ""Paul McCrane""]}",B00ABWKL3I,,UnentitledUnentitled,
Prime Video,One Perfect Wedding,3.0,6,"['IMDb 6.1', '1 h 27 min', '2021', 'ALL']","['With her book tour in two weeks and his expanding business plans, Cara and Ben put their long engagement behind them and book the chalet for a small wedding with friends and family. Starring Taylor Cole and Jack Turner.']",None,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Comedy', 'Drama', 'Romance']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Gary Yates""], ""Producers"": [""Anthony Fankhauser"", ""Graem Luis"", ""Melinda Wells McCabe"", ""Emily Merlin"", ""Stan Spry"", ""Eric Scott Woods""]}",B09WDLJ4HP,,,
Movies & TV,How to Make Animatronic Characters - Organic Mechanics Part 2,5.0,7,[],"['Product Description', 'In PART TWO of this incredible journey through the world of animatronics, the master of The Character Shop, Rick Lazzarini, not only builds upon the lessons he introduced in Part One, but also shares a\xa0host of additional mechanical\xa0techniques, as he continues with the construction of his lifelike puma.', 'Here, Rick creates expressiveness in his animatronic creature by focusing on the movement of the jaw and the snarl of the lips.\xa0By the end, the range of emotion on display by the sum of these parts is truly amazing.', 'WEBCOURSE HIGHLIGHTS', 'Prepping &\xa0setting teeth into the vacuform skull', 'Prepping &\xa0setting teeth into the vacuform skull', 'Overview of cables, liners &\xa0housings', 'Overview of cables, liners &\xa0housings', 'Mounting &\xa0moving the jaw', 'Mounting &\xa0moving the jaw', 'Snarl of both the upper &\xa0lower lips', 'Snarl of both the upper &\xa0lower lips', 'Programming &\xa0troubleshooting ranges of motion', 'Programming &\xa0troubleshooting ranges of motion', 'About the Actor', 'Rick makes creatures, animals, robots, and crazy things for a living. Steven Spielberg has called him a ""genius"". To his FACE! John Candy laughed at his jokes during the filming of SPACEBALLS, and Mel Brooks even cast him as both Pizza the Hut and a horseback riding chimp for the film\'s end sequence. Rick has thrown up on Charlie Sheen\'s boat. Guillermo Del Toro told him he makes the ""most realistic blood I\'ve ever seen."" Jim Cameron shared a banana with him once. In a limo.', ""Rick brings the skills and technologies of prosthetics, animatronics and puppetry together to make a world of incredible beings. Rick's amazing work has been featured in such films as PIRATES OF THE CARRIBEAN: ON STRANGER TIDES, SNAKES ON A PLANE, WILLARD, BIG TROUBLE, MIMIC, DUDE, WHERE'S MY CAR, CASPER, OUTBREAK, THE SANTA CLAUSE, HOCUS POCUS, GHOSTBUSTERS II, SPACEBALLS and many more. He's known for creating the running Facehugger mechanism, and inner Queen Alien animatronics for the Oscar-Winning ALIENS while working for Stan Winston Studio. Few can match the quality or quantity of memorable, iconic creatures and characters he's created for major feature films, and hundreds of television commercials that are recognized worldwide, such as the Foster Farms Chickens, an animatronic Alligator for Verizon, and others."", ""Lazzarini has built and puppeteered creations from a miniature six inch replica of Julia Roberts as Tinkerbell for HOOK, to life- sized elephants for OPERATION: DUMBO DROP, all the way up to a beautiful 20 foot tall marionette for Mayflower Moving. The menagerie of animatronic animals in residence at Lazzarini's Character Shop include a gigantic raven, scores of snakes, a realistic puma, a trio of hyenas, several chickens, a sheep, turtles, apes, rats, a chipmunk, a water buffalo, and two dolphins ready to take a road trip. He's created Buzzards, Frogs, Dogs, Aliens, Anteaters, Tortoises, Lobsters, and so many more for Commercial clients such as Ford, Chevy, Coca Cola, McDonald's, Cheerios, Budweiser, Sony, Duracell...and the list just goes on and on."", ""Rick had an early love of comic books and apes, behind-the-scenes revelations about PLANET OF THE APES, making Super 8 Movies with ambitious yet adorably amateur effects, and being a super-geek. Combined with tenacity, persistence, and hard work (and even a little bit of talent) this developed into a life-long passion for animatronics and effects. A graduate of Loyola Marymount University, Rick got his start at prop houses and working at Makeup Effects Labs, John Dykstra's Apogee, Richard Edlund's Boss Films, and Stan Winston Studio. He opened up his own studio, The Character Shop, in 1986, and has been an industry leader from the start."", ""Lazzarini can sculpt, make molds, research and develop in the lab, come up with incredible animatronic designs and mechanisms, and then bring his characters to life with virtuoso puppeteering skills. He is one of the top Creature Makers in Hollywood and he's always innovating, always looking for a new or more clever way to make something. Rick s forte is putting together great crews, then challenging himself and his crew to fulfill their potential. Under his tutelage, Rick's team is able to combine many disciplines to create incredibly lifelike and complex moving creatures."", 'Rick is a man of honor who knows his stuff. He delivers the very best to his clients, on time and under budget. He has been a consultant to the medical community for which he was contracted to create lifelike surgical training models for Cedars Sinai. He is an excellent teacher, having taught courses at UCLA, AFI and USC. He heads his own Animatronics Institute, giving hands on lessons to eager students in animatronic creature design and creation. And he is honored to share his knowledge and expertise with you.', 'About the Director', ""ONLINE Special Effects Makeup and Creature Creation training by the world's finest artists and technicians."", ""Stan Winston School of Character Arts is an educational media company dedicated to teaching the art and science of character creation. SWSCA is partnered with the majority of Hollywood's top effects artists and studios to develop, produce, and distribute ultra-high quality online Creature FX video tutorials teaching the innovative techniques and processes used to create cinema's most memorable characters."", ""SWSCA's educational content is subscription-based and will cover the full spectrum of character effects, from traditional approaches to the state-of-the-art Hybrid Practical/Digital Approach that has become the cornerstone of today's box office hits."", 'See more']",64.99,"{'hi_res': ['https://m.media-amazon.com/images/I/61rjEQ2h9PL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/71vHrEa+hkL._SL1000_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51xAtwVr3ML.jpg', 'https://m.media-amazon.com/images/I/51DNo8piIsL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51xAtwVr3ML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51DNo8piIsL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN', 'BACK']}","{'title': [], 'url': [], 'user_id': []}","Rick Lazzarini  (Actor),     Stan Winston School of Character Arts  (Director)    Format: DVD","['Movies & TV', 'Genre for Featured Categories', 'Special Interests']","{""Package Dimensions"": ""7.52 x 5.31 x 0.71 inches; 3.84 Ounces"", ""Director"": ""Stan Winston School of Character Arts"", ""Media Format"": ""Multiple Formats, Dolby, NTSC, Widescreen"", ""Run time"": ""4 hours and 18 minutes"", ""Release date"": ""August 19, 2012"", ""Actors"": ""Rick Lazzarini"", ""Studio"": ""Stan Winston School of Character Arts"", ""Country of Origin"": ""USA"", ""Number of discs"": ""2""}",B00AHN851G,,,
Prime Video,Ode to Joy: Beethoven's Symphony No. 9,4.3,35,"['1 h 26 min', '2015', 'ALL']","[""This special Ode to Joy: Beethoven's Symphony No. 9 showcases this musical masterpiece in a rare television recording by the Vienna Chamber Orchestra with the Westminster Symphonic Choir, under the direction of conductor Mark Laycock.""]",5.99,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,['Documentary'],"{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Karen McLaughlin""], ""Producers"": [""Eric Schultz"", ""Susan Wallner""]}",B01G9ILXXE,,,
Prime Video,Ben 10: Alien Force (Classic),4.7,360,"['IMDb 7.3', '2008', '13 episodes', '7+']","['Itâ€™s hero time again for Ben as he saves the Earth from Vilgaxâ€™s power. This season, Ben, Gwen and Kevin go head-to-head with repo men, bounty hunters and a charming long, lost villain. Ben winds up lending a hand to a popcorn-munching alien and Julie (literally!). If Ben can keep the Omnitrix under control, he might stand a chance at saving Grandpa Max once and for all.']",24.49,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Science Fiction', 'Comedy', 'Animation', 'Drama']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Dan Riba"", ""Butch Lukic"", ""John Fang"", ""Rick Morales""], ""Producers"": [""Dwayne McDuffie"", ""Donna Smith"", ""Glen Murakami"", ""Brian A. Miller"", ""Jennifer Pelphrey"", ""Sam Register""]}",B009SIYXDA,,UnentitledUnentitled,
Movies & TV,Sacred Flesh,3.7,63,[],"['Product Description', 'Torn between sexual desire, her vows of chastity and her fear of eternal damnation, a medieval nun struggles with her sanity.', 'Bordering on madness, she seeks solace in the savage words of sexual denial that are spoken to her by a disturbing ""death nun"" vision. Her sanity is further threatened by the imagined figure of Mary Magdalen, who challenges her concepts of sex as an evil, malignant force.', ""In between these discussions, the nun's mind is filled with brooding, violent, sexual fantasies that push her into a world of blackness, blood, and orgasmic self destruction."", 'Review', 'A first class ticket to hell! --', 'Horrorview', 'A superb mixture of great cinematography, weird Catholic history and thrills --', 'Cinema Eye', 'Blends Catholicism and sexual exploration in a Greenaway-esque torrent of erotica. --', 'What DVD', 'One of the most erotic nunsploitation movies ever made. --', 'Nunsploitation.net']",None,"{'hi_res': [None], 'large': ['https://m.media-amazon.com/images/I/416SR3V057L.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/416SR3V057L._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}","Bill, Kristina  (Actor),     Rocks, Paddy  (Actor),     Cope, Moyna  (Director)    &                   0                  more   Rated:    Unrated    Format: DVD","['Movies & TV', 'Genre for Featured Categories', 'Horror']","{""Format"": ""Color, AC-3, Closed-captioned, Collector's Edition, Digital Sound, Original recording remastered, Widescreen, NTSCColor, AC-3, Closed-captioned, Collector's Edition, Digital Sound, Original recording remastered, Widescreen, NTSC  See more"", ""Contributor"": ""Dawkins, Amanda, Rockman, Moses, Wingrove, Nigel, Grant (III), Mary, Adamson, Christopher, Svenson, Claudia, Bill, Kristina, Cope, Moyna, Thorne, Patty, Tremayne, Gwen, Charlton, Bernard, Plaisant, Hildegard, Callow, Hannah, Carlyon, Leasa, Weston, Daisy, Daly, Eileen, Tremaine, Sally, Willrodt, Ingeborg, Rocks, Paddy, McLean, Shannon, Hill, Steven, Morris, Matt, Linehan, Louise, Taggart, StacyDawkins, Amanda, Rockman, Moses, Wingrove, Nigel, Grant (III), Mary, Adamson, Christopher, Svenson, Claudia, Bill, Kristina, Cope, Moyna, Thorne, Patty, Tremayne, Gwen, Charlton, Bernard, Plaisant, Hildegard, Callow, Hannah, Carlyon, Leasa, Weston, Daisy, Daly, Eileen, Tr\u2026  See more"", ""Language"": ""English"", ""Runtime"": ""1 hour and 17 minutes"", ""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""Unrated (Not Rated)"", ""Product Dimensions"": ""7.5 x 5.5 x 0.53 inches; 4 Ounces"", ""Director"": ""Cope, Moyna"", ""Media Format"": ""Color, AC-3, Closed-captioned, Collector's Edition, Digital Sound, Original recording remastered, Widescreen, NTSC"", ""Run time"": ""1 hour and 17 minutes"", ""Release date"": ""November 15, 2005"", ""Actors"": ""Bill, Kristina, Rocks, Paddy, Callow, Hannah, Tremayne, Gwen, Svenson, Claudia"", ""Studio"": ""Heretic"", ""Number of discs"": ""1""}",B0001YJBJ6,,,
Prime Video,Let Sleeping Corpses Lie,4.2,96,"['IMDb 6.8', '1 h 32 min', '1975', 'R']","['A cop chases two hippies suspected of a series of Manson family-like murders; unbeknownst to him, the real culprits are the living dead, brought to life with a thirst for human flesh by chemical pesticides being used by area farmers.']",None,"{'hi_res': [None], 'large': [None], 'thumb': [None], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",,"['Horror', 'Atmospheric', 'Intense']","{""Subtitles"": [""None available""], ""Directors"": [""Jorge Grau""], ""Producers"": [""Star Films""], ""Starring"": [""Cristina Galbo""]}",B018RDV40G,,,
Movies & TV,Marty Wilde: Born to Rock 'n' Roll - The 50th Anniversary Concert,4.5,81,[],"[""NTSC/Region 0. Marty Wilde was one of the UK's biggest home-grown Rock and Pop stars in the '50s and '60s. In 2007, he celebrated his 50th Anniversary in the music biz by taking his show on the road. This DVD was shot on the last night of the tour at the London Palladium, May 27th 2007. Features special guests Hank Marvin, Jet Harris, Brian Bennett, Bruce Welch and Kim and Roxanne Wilde. UMTV.""]",24.76,"{'hi_res': [None], 'large': ['https://m.media-amazon.com/images/I/51ln3gTBmqL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51ln3gTBmqL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN']}","{'title': ['Born To Rock'], 'url': ['https://www.amazon.com/vdp/2dcdf7c75ec449258a495d3906f0b669?ref=dp_vse_rvc_0'], 'user_id': ['']}",Rated:    Unrated    Format: DVD,"['Movies & TV', 'Movies']","{""Genre"": ""Rock, Music Video & Concerts"", ""Format"": ""Multiple Formats, NTSC, Import"", ""Contributor"": ""Marty Wilde"", ""Number Of Discs"": ""2"", ""Publication Date"": ""November 26, 2007"", ""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""Unrated (Not Rated)"", ""Product Dimensions"": ""5.83 x 5.71 x 0.43 inches; 3.53 Ounces"", ""Item model number"": ""MSE518470"", ""Media Format"": ""Multiple Formats, NTSC, Import"", ""Release date"": ""November 26, 2007"", ""Actors"": ""Marty Wilde"", ""Studio"": ""Universal Uk"", ""Number of discs"": ""2""}",B000XXDF9M,,,
Movies & TV,Jason Aldean CMT Pick,4.3,19,[],"['This limited edition DVD contains Studio 330 sessions, bonus interview footage, and CMT Awards 2006 pre-party']",9.97,"{'hi_res': ['https://m.media-amazon.com/images/I/71YO8qaSOVL._SL1500_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51IWAe7gUoL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51IWAe7gUoL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN']}","{'title': [], 'url': [], 'user_id': []}",Rated:    NR    Format: Unknown Binding,"['Movies & TV', 'Genre for Featured Categories', 'Music Videos & Concerts']","{""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""NR (Not Rated)"", ""Package Dimensions"": ""7.1 x 5.42 x 0.58 inches; 2.88 Ounces"", ""Media Format"": ""Color, Full Screen, Limited Edition, DVD"", ""Run time"": ""49 minutes"", ""Actors"": ""Jason Aldean"", ""Language"": ""Unqualified (Dolby Digital 1.0), Unqualified (Stereo)"", ""Studio"": ""Country Music Television""}",B000RF0V2U,,,
Movies & TV,I Give It a Year,3.7,807,[],"['Directed by Dan Mazer. Starring Stephen Merchant, Rafe Spall, Rose Byrne.']",5.2,"{'hi_res': [None, 'https://m.media-amazon.com/images/I/61w9HfPyjKL._SL1005_.jpg'], 'large': ['https://m.media-amazon.com/images/I/51bAmLm4wYL.jpg', 'https://m.media-amazon.com/images/I/51lfSt+1OwL.jpg'], 'thumb': ['https://m.media-amazon.com/images/I/51bAmLm4wYL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51lfSt+1OwL._SX38_SY50_CR,0,0,38,50_.jpg'], 'variant': ['MAIN', 'PT01']}","{'title': [], 'url': [], 'user_id': []}","Anna Faris  (Actor),     Rafe Spall  (Actor),     Dan Mazer  (Director)    &                   0                  more   Rated:    Unrated    Format: Blu-ray","['Movies & TV', 'Blu-ray', 'Movies']","{""Aspect Ratio"": ""2.35:1"", ""MPAA rating"": ""Unrated (Not Rated)"", ""Product Dimensions"": ""6.81 x 5.43 x 0.63 inches; 3.53 Ounces"", ""Director"": ""Dan Mazer"", ""Media Format"": ""Import"", ""Release date"": ""June 4, 2013"", ""Actors"": ""Anna Faris, Rafe Spall, Rose Byrne, Stephen Merchant, Simon Baker"", ""Producers"": ""Tim Bevan, Eric Fellner, Kris Thykier"", ""Studio"": ""IMPORTS"", ""Number of discs"": ""1""}",B00BAQZCY2,,,
